,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,1
61,0
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,1
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,0
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,0
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,1
192,0
193,1
194,0
195,0
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,0
244,1
245,1
246,1
247,1
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,0
280,1
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,0
291,0
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,1
333,1
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,1
410,0
411,0
412,1
413,0
414,0
415,0
416,1
417,1
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,1
427,1
428,1
429,0
430,0
431,0
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,1
448,0
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,0
477,0
478,0
479,1
480,0
481,1
482,1
483,1
484,0
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,0
514,1
515,0
516,0
517,0
518,1
519,0
520,1
521,1
522,0
523,0
524,1
525,1
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,0
539,0
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,0
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,0
565,1
566,1
567,0
568,1
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,0
581,1
582,1
583,0
584,1
585,1
586,1
587,0
588,1
589,0
590,1
591,1
592,1
593,0
594,0
595,0
596,0
597,1
598,1
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,1
607,1
608,0
609,1
610,0
611,1
612,1
613,1
614,1
615,1
616,1
617,0
618,1
619,0
620,1
621,1
622,0
623,1
624,1
625,0
626,0
627,1
628,0
629,0
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,0
638,0
639,0
640,0
641,1
642,1
643,0
644,1
645,1
646,1
647,1
648,1
649,0
650,1
651,0
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,0
660,0
661,0
662,1
663,1
664,1
665,1
666,0
667,0
668,1
669,1
670,1
671,1
672,1
673,0
674,1
675,0
676,1
677,0
678,0
679,1
680,1
681,1
682,1
683,1
684,0
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,0
695,1
696,0
697,0
698,1
699,1
700,0
701,1
702,1
703,1
704,1
705,0
706,1
707,1
708,0
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,1
717,1
718,1
719,1
720,1
721,1
722,0
723,1
724,0
725,1
726,0
727,1
728,0
729,1
730,1
731,1
732,1
733,0
734,0
735,1
736,0
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,1
745,0
746,1
747,1
748,1
749,1
750,1
751,0
752,1
753,1
754,0
755,1
756,0
757,1
758,0
759,1
760,0
761,1
762,1
763,1
764,0
765,0
766,0
767,1
768,0
769,1
770,1
771,1
772,0
773,0
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,1
789,1
790,1
791,1
792,1
793,1
794,0
795,1
796,0
797,1
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,1
806,0
807,0
808,0
809,1
810,1
811,1
812,0
